Tarih,Açıklama,Tutar,Kategori
2024-01-15,Market alışverişi,-150.50,
2024-01-16,Kira ödemesi,-2500.00,
2024-01-17,Elektrik faturası,-180.75,
2024-01-18,Taksi ücreti,-45.00,
2024-01-19,Sinema bileti,-120.00,
2024-01-20,İnternet faturası,-89.90,
2024-01-21,Restoran,-85.50,
2024-01-22,Su faturası,-65.25,
2024-01-23,Otobüs bileti,-15.00,
2024-01-24,Süpermarket,-200.00,
2024-01-25,Doğalgaz faturası,-320.00,
2024-01-26,Konser bileti,-350.00,
2024-01-27,Benzen,-200.00,
2024-01-28,Telefon faturası,-75.00,
2024-01-29,Cafe,-35.00,
2024-01-30,Ev temizlik malzemeleri,-120.00 